ISBN,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9780241337790,Last Stories,William Trevor,ePUB,15.99,15.99,241337798,2018-05-24,Penguin Books Ltd,240
9781409015369,The Bloody Chamber and Other Stories,Angela Carter,ePUB,15.99,15.99,140901536X,2012-10-31,Random House,176
9780748126323,Hold Me Tight,Dr Sue Johnson,ePUB,15.99,15.99,748126325,2011-02-03,"Little, Brown Book Group",320
9780141911748,"I, Claudius",Robert Graves,ePUB,15.99,15.99,141911743,2006-08-03,Penguin Books Ltd,416
9781407070254,Die Trying,Lee Child,ePUB,16.99,16.99,1407070258,2008-09-04,Transworld,560
9780718197186,Aprons and Silver Spoons,Mollie Moran,ePUB,14.99,14.99,718197186,2013-03-14,Penguin Books Ltd,320
9780281064649,Revelation for Everyone,Tom Wright,ePUB,17.04,13.99,281064644,2011-11-15,SPCK,256
9781405941624,The Cabin,JÃ¸rn Lier Horst,ePUB,15.99,15.99,1405941626,2019-08-08,Penguin Books Ltd,400
9780141960777,Eva Fraser's Facial Workout,Eva Fraser,ePUB,14.99,14.99,141960779,2000-01-01,Penguin Books Ltd,160
9780241976579,Emotional Agility,Susan David,ePUB,15.99,15.99,024197657X,2016-04-07,Penguin Books Ltd,272
9780141964591,Where Good Ideas Come From,Steven Johnson,ePUB,15.99,15.99,141964596,2010-10-07,Penguin Books Ltd,336
9780857382184,The Chessmen,Peter May,ePUB,12.99,12.99,857382187,2012-11-19,Quercus,400
9781405937733,Beartown,Fredrik Backman,ePUB,15.99,15.99,1405937734,2018-05-03,Penguin Books Ltd,432
9780755382644,Moonlight and Ashes,Rosie Goodwin,ePUB,12.99,12.99,755382641,2010-12-23,Headline,366
9780241977576,The Cost of Living,Deborah Levy,ePUB,14.99,14.99,241977576,2018-04-05,Penguin Books Ltd,208
9781407098012,The Odessa File,Frederick Forsyth,ePUB,15.99,15.99,1407098012,2008-09-30,Random House,448
9780141904108,Mrs Dalloway,Virginia Woolf,ePUB,10.99,10.99,141904100,2000-05-25,Penguin Books Ltd,288
9781250121301,Down a Dark Road,Linda Castillo,ePUB,14.95,11.99,1250121302,2017-07-11,St. Martin's Publishing Group,
9780241975909,The Silk Merchant's Daughter,Dinah Jefferies,ePUB,15.99,15.99,241975905,2016-02-25,Penguin Books Ltd,400
9780748110063,The Player Of Games,Iain M. Banks,ePUB,12.99,12.99,748110062,2008-09-04,"Little, Brown Book Group",320
9781250185464,Exit Strategy,Martha Wells,ePUB,20.53,16.99,1250185467,2018-10-02,Tor Publishing Group,
9780997720105,Claiming the Dragon King,Amelia Hutchins,ePUB,6.99,6.99,997720107,2018-07-10,Amelia Hutchins,
9780241983522,The Glossy Years,Nicholas Coleridge,ePUB,15.99,15.99,241983525,2019-09-26,Penguin Books Ltd,400
9780241967553,The Circle,Dave Eggers,ePUB,15.99,15.99,241967554,2013-10-10,Penguin Books Ltd,320
9780141957074,The End,Ian Kershaw,ePUB,16.99,16.99,141957077,2011-08-25,Penguin Books Ltd,592
9780807000410,An Indigenous Peoples' History of the United States,Roxanne Dunbar-Ortiz,ePUB,26.34,21.99,807000418,2014-09-16,Beacon Press,
9780547348063,Baking,Dorie Greenspan,ePUB,9.99,9.99,547348061,2013-07-23,HarperCollins,
9780141958309,The Brightest Star in the Sky,Marian Keyes,ePUB,15.99,15.99,141958308,2009-10-30,Penguin Books Ltd,640
9781407005416,Martin Misunderstood,Karin Slaughter,ePUB,15.99,15.99,1407005413,2008-12-26,Random House,176
9780141901251,The Count of Monte Cristo,Alexandre Dumas,ePUB,10.99,10.99,014190125X,2003-03-27,Penguin Books Ltd,1312
9781119144762,Fanatical Prospecting,Jeb Blount,ePUB,35.19,35.19,1119144760,2015-09-29,Wiley Professional Development (P&T),0
9780141965932,A Pocketful of Holes and Dreams,Jeff Pearce,ePUB,14.99,14.99,141965932,2011-01-20,Penguin Books Ltd,288
9780141910116,Manhattan Transfer,John Dos Passos,ePUB,15.99,15.99,141910119,2000-08-31,Penguin Books Ltd,368
9780804151412,Texas,James A. Michener,ePUB,27.42,21.99,804151415,2014-01-21,Random House Publishing Group,
9780141393964,Things Fall Apart,Chinua Achebe,ePUB,15.99,15.99,141393963,2013-04-25,Penguin Books Ltd,176
9780718193348,Zero Degrees of Empathy,Simon Baron-Cohen,ePUB,15.99,15.99,718193342,2011-12-21,Penguin Books Ltd,208
9781405519229,The Casual Vacancy,J.K. Rowling,ePUB,12.99,12.99,1405519223,2012-09-27,"Little, Brown Book Group",480
9780141967479,The Looking Glass War,John le CarrÃ©,ePUB,15.99,15.99,141967471,2011-11-03,Penguin Books Ltd,288
9780755352449,The Island,Victoria Hislop,ePUB,11.99,11.99,755352440,2008-02-10,Headline,300
9781101626481,Return to Tradd Street,Karen White,ePUB,20.57,16.99,1101626488,2014-01-07,Penguin Publishing Group,352
9780670923090,The Boy with the Topknot,Sathnam Sanghera,ePUB,15.99,15.99,670923095,2012-11-29,Penguin Books Ltd,336
9780297859680,And Furthermore,Dame Judi Dench,ePUB,11.99,11.99,297859684,2010-10-14,Orion,320
9781407070261,Echo Burning,Lee Child,ePUB,16.99,16.99,1407070266,2008-09-22,Transworld,576
9780241205648,Churchill,Andrew Roberts,ePUB,18.99,18.99,241205646,2018-10-04,Penguin Books Ltd,1152
9780670922864,The Challenger Sale,Matthew Dixon,ePUB,18.99,18.99,670922862,2012-10-01,Penguin Books Ltd,240
9780807012444,The Miracle of Mindfulness,Thich Nhat Hanh,ePUB,22.01,17.99,807012440,2000-01-01,Beacon Press,0
9780297860709,The Second World War,Antony Beevor,ePUB,19.99,19.99,297860704,2012-06-07,Orion,736
9780976420088,A Course in Miracles,Helen Schucman,ePUB,8.79,7.99,976420082,2009-05-15,Course in Miracles Society,680
9780241283226,In The Dark,Cara Hunter,ePUB,15.99,15.99,241283221,2018-07-12,Penguin Books Ltd,480
9780748124800,Shutter Island,Dennis Lehane,ePUB,11.99,11.99,748124802,2010-10-21,"Little, Brown Book Group",304
9780141967554,The Son of Neptune (Heroes of Olympus Book 2),Rick Riordan,ePUB,9.99,9.99,141967552,2011-10-04,Penguin Random House Children's UK,544
9781250142658,Dottir,Katrin Davidsdottir,ePUB,19.51,15.99,1250142652,2019-08-06,St. Martin's Publishing Group,
9780007321575,The Saddest Girl in the World,Cathy Glass,ePUB,12.99,12.99,7321570,2009-03-20,HarperCollins Publishers,320
9780241341155,Digital Minimalism,Cal Newport,ePUB,15.99,15.99,241341159,2019-02-05,Penguin Books Ltd,184
9780857081025,The Art of War,Sun Tzu,ePUB,16.99,16.99,857081020,2016-05-16,Wiley,220
9780755371365,Whatever It Takes,Adele Parks,ePUB,12.99,12.99,755371364,2012-06-21,Headline,377
9780748109432,Lazybones,Mark Billingham,ePUB,12.99,12.99,748109439,2008-09-04,"Little, Brown Book Group",448
9780755352012,An Offer You Can't Refuse,Jill Mansell,ePUB,12.99,12.99,755352017,2008-02-10,Headline,300
9780141903026,Berlin,Antony Beevor,ePUB,15.99,15.99,141903023,2007-10-04,Penguin Books Ltd,528
9780141913889,The Road to Wigan Pier,George Orwell,ePUB,15.99,15.99,141913886,2001-04-26,Penguin Books Ltd,240
9780571246021,Medusa,Michael Dibdin,ePUB,13.19,11.99,571246028,2008-09-04,Faber & Faber,384
9780141986296,Don't Touch My Hair,Emma Dabiri,ePUB,15.99,15.99,141986298,2019-05-02,Penguin Books Ltd,240
9780753549063,Lean In,Sheryl Sandberg,ePUB,18.99,18.99,753549069,2013-03-12,Ebury Publishing,240
